a   	b   		||A|| 					||A^-1|| 				v(a) = obusl 			||z|| 					zeta 						||r|| 						rho


1.0		10.0		719.9652626175068		631.879640565541		454931.3913624255		7.972236204523142E-10		8.283915261206752E-11		2.538854459999129E-9		7.896917930259596E-13

1.0		100.0		7929.617888792577		3085.966758157669		2.4470537209706288E7		2.802928644740632E-8		2.8217322464030103E-9		4.702669684775174E-6		1.1354252567060551E-10

1.0		1000.0		80026.14415054329		4750.357823517591		3.801528199514798E8		9.990318616814875E-8		1.0166167556336544E-8		2.7422007406130433E-4		6.420625872322354E-10

1.0		10000.0		800991.4067680504		5018.373335679843		4.019673917833471E9		4.304736489046945E-6		4.3437759714117955E-7		0.027991927228868008		7.918855594158702E-9

1.0		100000.0		8010644.032943121		5046.819688863467		4.042827602593399E10		3.81747242841346E-5		3.840930136432121E-6		0.5288788378238678		1.4371339884852077E-8

1.0		1000000.0		8.010717029469384E7		5049.681791355847		4.045157191941575E11		1.8593662703203506E-4		1.904174469576627E-5		186.16999453306198		5.168147194338524E-7

1.0		10.0		719.9652626175068		631.879640565541		454931.3913624255		4.1108449977400596E-11		4.1333837813473806E-12		9.608811524230987E-10		2.8489503451565967E-13

1.0		100.0		7929.617888792577		3085.966758157669		2.4470537209706288E7		7.492601117320419E-8		7.629889923969334E-9		1.022537617245689E-5		2.947950923988191E-10

1.0		1000.0		80026.14415054329		4750.357823517591		3.801528199514798E8		8.774937310107589E-8		8.797690580503285E-9		1.470166607759893E-4		3.452468319306103E-10

1.0		10000.0		800991.4067680504		5018.373335679843		4.019673917833471E9		3.2558056786147205E-6		3.2734520630332647E-7		0.0225726505741477		6.260581269813644E-9

1.0		100000.0		8010644.032943121		5046.819688863467		4.042827602593399E10		6.842295623421535E-5		6.928023118707842E-6		15.02184584736824		4.272417612374904E-7

